Report generated on: 02-25-2022 09:57:07
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-4-PYF-BKWH.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-GAB-BKWH.A","        Gabon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-GMB-BKWH.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-GEO-BKWH.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","0.531","0.339","0.15","0.18","0.126","0.465","0.796","0.384","0.198","0.527","0.158","0.159","0","0.122","0.14","0.628","0.675","0.74","1.492","0.93","0.528","0.45","0.604","0.66","1.409","0.94","0.602","0.38","0.256"
"INTL.2-4-DEU-BKWH.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","30.991","33.738","32.758","33.55","34.911","42.67","40.361","38.953","39.558","42.077","42.122","38.372","52.379","50.808","61.427","65.441","62.508","61.77","54.132","57.917","54.768","66.81","71.415","74.32","85.29","78.863","80.301","80.463","72.793","66.931"
"INTL.2-4-DDR-BKWH.A","        Germany, East","2.685","2.445","3.144","3.251","3.927","3.674","3.873","3.664","4.088","4.987","4.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-DEUW-BKWH.A","        Germany, West","13.463","14.028","13.422","13.292","15.444","16.33","15.522","18.381","22.329","21.321","26.387","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-GHA-BKWH.A","        Ghana","0.44","0.472","0.521","0.225","0.25","0.27","0.275","0.281","0.282","0.28","0.195","0.215","0.286","0.288","0.31","0.285","0.348","0.422","0.4","0.422","0.392","0.302","0.612","0.604","0.665","0.639","0.754","0.246","0.538","0.752","1.036","0.691","0.667","0.53","0.522","0.587","0.187","0.268","0.74","1.43","1.801"
"INTL.2-4-GIB-BKWH.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-4-GRC-BKWH.A","        Greece","0.038","0.089","0.049","0.032","0.03","0.209","0.297","0.362","0.392","0.637","0.619","0.854","0.362","0.284","0.43","0.593","1.314","0.709","0.89","1.647","1.74","1.062","1.706","2.076","2.034","1.836","1.938","2.057","1.962","3.233","2.811","3.948","4.169","3.901","0.642","1.473","1.037","2.459","2.272","1.123029","0.967"
"INTL.2-4-GRL-BKWH.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-GRD-BKWH.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-GLP-BKWH.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-GUM-BKWH.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
