Report generated on: 02-24-2022 17:30:59
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.6899-4-BRA-TBPD.A","            LPG (Mb/d)","0.933279242","1.3","1","1.3","1.2","1.2","0.6","1.3","1.2","0.9","0.2","0","0.08615","0.2","0","0","0","0.1","0.1","0.0861506849315068","0.2","0.1","3","2.3","1.1","4.8","3.5","0.4","0.1","35","0.1","0.7","0.5","NA","NA"
"INTL.8499-4-BRA-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-VGB-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-VGB-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.8499-4-VGB-TBPD.A","            Ethane (Mb/d)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Brunei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-4-BRN-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","5.9","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"INTL.6899-4-BRN-TBPD.A","            LPG (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","5.9","8.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
